"","Primer.x","Cluster."
"1","b3f\",41
"2","b2r\",41
"3","b5f\",41
"4","b2f\",41
"5","b3r\",41
"6","b4r\",41
"7","b5r\",41
"8","b4f\",41
"9","Query_1",9
"10","a7f\",9
"11","a7r\",9
"12","a2r\",9
"13","b1f\",9
"14","a5f\",9
"15","a5r\",9
"16","a2f\",9
"17","b1r\",9
"18","b2r\",49
"19","b3f\",49
"20","b4f\",49
"21","b3r\",49
"22","b2f\",49
"23","b5f\",49
"24","b4r\",49
"25","b5r\",49
"26","Query_1",17
"27","a7f\",4
"28","b1r\",4
"29","a5f\",4
"30","a7r\",4
"31","b1f\",4
"32","a5r\",4
"33","Query_1",4
"34","a2f\",4
"35","a2r\",4
"36","b3r\",40
"37","b5f\",40
"38","b4f\",40
"39","b4r\",40
"40","b5r\",40
"41","b2r\",40
"42","b1r\",18
"43","a2f\",18
"44","a7f\",18
"45","a7r\",18
"46","a5f\",18
"47","a5r\",18
"48","Query_1",18
"49","b1f\",18
"50","a7r\",23
"51","a7f\",23
"52","b1f\",23
"53","Query_1",23
"54","a5f\",23
"55","a5r\",23
"56","b1r\",23
"57","a2f\",23
"58","a2r\",23
"59","b1r\",1
"60","a7f\",1
"61","b1f\",1
"62","a2f\",1
"63","a7r\",1
"64","a5f\",1
"65","Query_1",1
"66","a7f\",30
"67","Query_1",30
"68","a2r\",30
"69","a7r\",30
"70","b1r\",30
"71","a5r\",30
"72","a2f\",30
"73","a5f\",30
"74","b1f\",30
"75","b5r\",34
"76","b2r\",34
"77","b3r\",34
"78","b4r\",34
"79","b3f\",34
"80","b2f\",34
"81","b5f\",34
"82","a7f\",2
"83","b1r\",2
"84","b1f\",2
"85","a5r\",2
"86","Query_1",2
"87","a2f\",2
"88","a5f\",2
"89","a2r\",2
"90","a7r\",2
"91","a7r\",10
"92","a5f\",10
"93","b1f\",10
"94","a7f\",10
"95","b1r\",10
"96","a5r\",10
"97","a2f\",10
"98","a2r\",10
"99","Query_1",10
"100","a7r\",6
"101","a5f\",6
"102","a7f\",6
"103","a5r\",6
"104","Query_1",6
"105","a2f\",6
"106","b1r\",6
"107","b1f\",6
"108","a2r\",6
"109","b5f\",79
"110","a5r\",79
"111","a2r\",79
"112","b3r\",79
"113","b2f\",79
"114","b3f\",79
"115","b2r\",79
"116","b4r\",79
"117","b5r\",79
"118","b4f\",79
"119","b1r\",3
"120","a5f\",3
"121","a2f\",3
"122","a7f\",3
"123","a5r\",3
"124","Query_1",3
"125","b1f\",3
"126","a7r\",3
"127","a2r\",3
"128","a2f\",8
"129","a5r\",8
"130","a7r\",8
"131","b1f\",8
"132","a2r\",8
"133","a7f\",8
"134","b1r\",8
"135","Query_1",8
"136","b1r\",12
"137","b1f\",12
"138","a7r\",12
"139","a5f\",12
"140","Query_1",12
"141","a5r\",12
"142","a2r\",12
"143","a2f\",12
"144","a7f\",12
"145","a7f\",24
"146","a2f\",24
"147","b1r\",24
"148","a7r\",24
"149","a5r\",24
"150","Query_1",24
"151","a5f\",24
"152","a2r\",24
"153","b1f\",24
"154","a5r\",25
"155","a7r\",25
"156","a5f\",25
"157","b1r\",25
"158","a7f\",25
"159","a2f\",25
"160","b1f\",25
"161","a2r\",25
"162","Query_1",25
"163","b1r\",26
"164","a2f\",26
"165","Query_1",26
"166","a5r\",26
"167","a7r\",26
"168","b1f\",26
"169","a2r\",26
"170","a7f\",26
"171","b5r\",82
"172","b2f\",82
"173","b3f\",82
"174","b3r\",82
"175","b4r\",82
"176","b2r\",82
"177","b4f\",82
"178","a7f\",27
"179","a7r\",27
"180","a5r\",27
"181","a2f\",27
"182","b1f\",27
"183","b1r\",27
"184","Query_1",27
"185","a2r\",27
"186","a5f\",27
"187","a7f\",14
"188","b1r\",14
"189","a5r\",14
"190","Query_1",14
"191","a5f\",14
"192","b1f\",14
"193","a2f\",14
"194","a2r\",14
"195","a7r\",14
